"Defense","QB DvP","RB DvP","WR DvP","TE DvP"
"ARI","5.0%","1.7%","-1.6%","1.5%"
"ATL","11.0%","-0.4%","-0.8%","7.3%"
"BAL","-0.1%","-1.9%","-0.4%","0.8%"
"BUF","-1.1%","-1.5%","-0.6%","1.2%"
"CAR","-3.5%","6.9%","-1.2%","-2.2%"
"CHI","-6.9%","0.0%","-2.4%","1.1%"
"CIN","-0.4%","-2.1%","0.5%","-1.1%"
"CLE","2.7%","0.2%","2.9%","2.5%"
"DAL","4.8%","-2.0%","1.0%","3.4%"
"DEN","4.3%","-5.2%","0.8%","2.6%"
"DET","-0.6%","2.8%","0.7%","-1.6%"
"GB","-2.3%","5.6%","-0.1%","-3.4%"
"HOU","-0.2%","5.6%","0.5%","0.1%"
"IND","-5.5%","-3.3%","-1.1%","-2.6%"
"JAX","0.6%","6.7%","-1.2%","0.6%"
"KC","-5.2%","-3.2%","-1.5%","-0.4%"
"LAC","3.9%","-3.0%","0.0%","-0.1%"
"LAR","-3.3%","-0.4%","-1.7%","-0.3%"
"LV","-3.7%","6.5%","-0.4%","-2.7%"
"MIA","3.9%","4.5%","0.7%","0.3%"
"MIN","-2.0%","1.4%","1.6%","-1.4%"
"NE","-3.0%","-4.1%","0.2%","-2.9%"
"NO","3.6%","-1.9%","-1.1%","4.0%"
"NYG","1.2%","1.6%","0.1%","-1.2%"
"NYJ","-0.4%","4.1%","0.7%","-0.2%"
"PHI","-0.1%","-2.5%","0.2%","1.2%"
"PIT","-7.6%","-3.3%","-0.4%","-2.7%"
"SEA","4.6%","-2.7%","3.6%","-2.4%"
"SF","1.2%","-7.9%","-0.5%","-3.0%"
"TB","-5.6%","-3.7%","-0.1%","-2.3%"
"TEN","2.8%","3.9%","0.4%","3.0%"
"WAS","2.6%","-1.4%","0.1%","0.5%"
